"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"13224.119999911636","viet_consent_1.html","external-html","0","13374","0.0-0.0","","","","","","","","","","","","","","","","","",""
"9172.800000058487","","instructions","1","22550","0.0-1.0","[{""page_index"":0,""viewing_time"":4294.80999999214},{""page_index"":1,""viewing_time"":3044.745000079274},{""page_index"":2,""viewing_time"":1832.0149999344721}]","","","","","","","","","","","","","","","","",""
"14747.18499998562","","html-slider-response","2","37300","0.0-2.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","bitter","đắng","yellow","màu vàng","","","","","","","",""
"8507.444999995641","","html-slider-response","3","45810","0.0-3.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","ugly","xấu","dirty","dơ","","","","","","","",""
"44366.84500006959","","html-slider-response","4","90181","0.0-4.0","","6","<strong>Cách mô tả nào về  ""cái quạt"" nghe tự nhiên hơn?</strong>","int_int_noun","fan","cái quạt","","","","","dirty","dơ","yellow","màu vàng","","","",""
"26688.595000072382","","html-slider-response","5","116871","0.0-5.0","","6","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_int_noun","candy","cục kẹo","small","nhỏ","round","hình tròn","","","","","","","",""
"18289.935000007972","","html-slider-response","6","135163","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","wooden","gỗ","red","màu đỏ","","","",""
"10843.929999973625","","html-slider-response","7","146009","0.0-7.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","big","lớn","yellow","màu vàng","","","","","","","",""
"11467.994999955408","","html-slider-response","8","157479","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","tall","cao","ugly","xấu"
"14035.840000025928","","html-slider-response","9","171517","0.0-9.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","big","lớn","sweet","ngọt"
"11154.355000006035","","html-slider-response","10","182673","0.0-10.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","yellow","màu vàng","square","sạch","","","",""
"7983.860000036657","","html-slider-response","11","190659","0.0-11.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","small","nhỏ","ugly","xấu"
"12680.174999986775","","html-slider-response","12","203341","0.0-12.0","","0","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","bitter","đắng","yellow","màu vàng","","","","","","","",""
"8237.629999988712","","html-slider-response","13","211581","0.0-13.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","beautiful","đẹp","square","hình vuông","","","","","","","",""
"36510.510000051","","html-slider-response","14","248092","0.0-14.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","big","lớn","short","thấp"
"11518.480000086129","","html-slider-response","15","259612","0.0-15.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","big","lớn","bitter","đắng"
"8560.414999956265","","html-slider-response","16","268174","0.0-16.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","clean","sạch","square","hình vuông","","","",""
"7640.215000021271","","html-slider-response","17","275816","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","ugly","xấu","small","nhỏ"
"13179.000000003725","","html-slider-response","18","288996","0.0-18.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","","","","","round","hình tròn","red","màu đỏ","","","",""
"14635.77500008978","","html-slider-response","19","303634","0.0-19.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","red","màu đỏ","wooden","gỗ","","","",""
"6212.835000013001","","html-slider-response","20","309848","0.0-20.0","","6","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","","","","","round","hình tròn","yellow","màu vàng","","","",""
"8350.36499996204","","html-slider-response","21","318200","0.0-21.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","short","thấp","round","hình tròn","","","","","","","",""
"6836.574999964796","","html-slider-response","22","325038","0.0-22.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","clean","sạch","yellow","màu vàng","","","",""
"7656.595000065863","","html-slider-response","23","332697","0.0-23.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","beautiful","đẹp","","lớn"
"9843.95999996923","","html-slider-response","24","342542","0.0-24.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","bitter","đắng","big","lớn"
"12475.674999994226","","html-slider-response","25","355020","0.0-25.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","clean","hình vuông","round","dơ","","","",""
"11128.965000039898","","html-slider-response","26","366151","0.0-26.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","beautiful","đẹp","short","thấp"
"9639.21500009019","","html-slider-response","27","375792","0.0-27.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","small","nhỏ","wooden","gỗ","","","","","","","",""
"7584.664999973029","","html-slider-response","28","383379","0.0-28.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","big","lớn","red","màu đỏ","","","","","","","",""
"9500.280000036582","","html-slider-response","29","392881","0.0-29.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","square","hình vuông","clean","sạch","","","",""
"4351.194999995641","","html-slider-response","30","397234","0.0-30.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","ugly","xấu","square","hình vuông","","","","","","","",""
"5395.365000003949","","html-slider-response","31","402631","0.0-31.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","ugly","xấu","sweet","ngọt"
