"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2","sub_type","viet_sub_type","int_type","viet_int_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2"
"97241.00000003818","viet_consent_1.html","external-html","0","97990","0.0-0.0","","","","","","","","","","","","","","","","","",""
"18931.999999913387","","instructions","1","116928","0.0-1.0","[{""page_index"":0,""viewing_time"":3891.9999999925494},{""page_index"":1,""viewing_time"":10967.99999999348},{""page_index"":2,""viewing_time"":4069.9999999487773}]","","","","","","","","","","","","","","","","",""
"31351.000000024214","","html-slider-response","2","148280","0.0-2.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","yellow","màu vàng","round","hình tròn","","","","","","","",""
"10548.999999999069","","html-slider-response","3","158833","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","big","lớn","wooden","gỗ","","","",""
"17224.999999976717","","html-slider-response","4","176061","0.0-4.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","","nhỏ","clean","sạch","","","",""
"13582.999999984168","","html-slider-response","5","189646","0.0-5.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","dirty","dơ","red","màu đỏ","","","","","","","",""
"15521.000000066124","","html-slider-response","6","205171","0.0-6.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","red","màu đỏ","dirty","dơ","","","","","","","",""
"12625","","html-slider-response","7","217824","0.0-7.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","","","","","","","","","nhỏ","beautiful","đẹp"
"13830.000000074506","","html-slider-response","8","231656","0.0-8.0","","6","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","dirty","dơ","yellow","màu vàng","","","","","","","",""
"13611.99999996461","","html-slider-response","9","245268","0.0-9.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_sub_noun","banana","trái chuối","","","","","","","","","ugly","xấu","small","nhỏ"
"13132.999999914318","","html-slider-response","10","258418","0.0-10.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","square","hình vuông","clean","sạch","","","","","","","",""
"9538.999999989755","","html-slider-response","11","267960","0.0-11.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","short","thấp","clean","sạch","","","",""
"14532.999999937601","","html-slider-response","12","282464","0.0-12.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","clean","sạch","red","màu đỏ","","","","","","","",""
"15579.000000027008","","html-slider-response","13","298046","0.0-13.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","sweet","ngọt","clean","sạch","","","",""
"8410.999999963678","","html-slider-response","14","306459","0.0-14.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","ugly","xấu","big","lớn"
"10830.000000074506","","html-slider-response","15","317291","0.0-15.0","","0","<strong>Cách mô tả nào về  ""xôi"" nghe tự nhiên hơn?</strong>","int_int_noun","sticky rice","xôi","red","màu đỏ","clean","sạch","","","","","","","",""
"19719.99999997206","","html-slider-response","16","337012","0.0-16.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","","","","","","","","","tall","cao","big","lớn"
"8383.999999961816","","html-slider-response","17","345395","0.0-17.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","beautiful","đẹp","clean","sạch","","","",""
"9351.000000024214","","html-slider-response","18","354750","0.0-18.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","tall","cao","ugly","xấu"
"19834.999999962747","","html-slider-response","19","374588","0.0-19.0","","6","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_sub_noun","chair","cái ghế","","","","","","","","","beautiful","đẹp","tall","cao"
"6981.000000028871","","html-slider-response","20","381572","0.0-20.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","small","nhỏ","plastic","nhựa","","","",""
"21130.99999993574","","html-slider-response","21","402705","0.0-21.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","pepper","trái ớt","","","","","","","","","bitter","đắng","ugly","xấu"
"7482.000000076368","","html-slider-response","22","410186","0.0-22.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_sub_noun","car","cái xe","","","","","","","","","small","nhỏ","ugly","xấu"
"22687.00000003446","","html-slider-response","23","432876","0.0-23.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","big","lớn","dirty","hình tròn","","","",""
"8456.99999993667","","html-slider-response","24","441337","0.0-24.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_int_noun","fan","cái quạt","","","","","big","lớn","clean","sạch","","","",""
"8307.999999960884","","html-slider-response","25","449648","0.0-25.0","","0","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","short","thấp","clean","sạch","","","",""
"14354.999999981374","","html-slider-response","26","464006","0.0-26.0","","0","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","big","lớn","plastic","nhựa","","","",""
"9179.000000003725","","html-slider-response","27","473185","0.0-27.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","bitter","đắng","beautiful","đẹp"
"8864.999999990687","","html-slider-response","28","482053","0.0-28.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","dirty","dơ","yellow","màu vàng","","","","","","","",""
"11075.00000006985","","html-slider-response","29","493131","0.0-29.0","","0","<strong>Cách mô tả nào về  ""trái ớt"" nghe tự nhiên hơn?</strong>","int_int_noun","pepper","trái ớt","yellow","màu vàng","dirty","dơ","","","","","","","",""
"12573.999999905936","","html-slider-response","30","505708","0.0-30.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","","","","","","","","","bitter","đắng","small","nhỏ"
"8116.999999969266","","html-slider-response","31","513828","0.0-31.0","","6","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","red","màu đỏ","wooden","gỗ","","","","","","","",""
