"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","response","stimulus","data_type","noun_type","viet_noun_type","sub_type_1","viet_sub_type_1","sub_type_2","viet_sub_type_2","sub_type","viet_sub_type","int_type","viet_int_type","int_type_1","viet_int_type_1","int_type_2","viet_int_type_2"
"205059.8","viet_consent_1.html","external-html","0","205489","0.0-0.0","","","","","","","","","","","","","","","","","",""
"20042.100000000122","","instructions","1","225538","0.0-1.0","[{""page_index"":0,""viewing_time"":4101.700000000186},{""page_index"":1,""viewing_time"":11555.79999999964},{""page_index"":2,""viewing_time"":4381.499999999942}]","","","","","","","","","","","","","","","","",""
"88945.00000000017","","html-slider-response","2","314492","0.0-2.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","beautiful","đẹp","big","lớn","","","","","","","",""
"15725.300000000047","","html-slider-response","3","330223","0.0-3.0","","0","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_int_noun","cup","cái ly","","","","","tall","cao","wooden","gỗ","","","",""
"13684.200000000128","","html-slider-response","4","343913","0.0-4.0","","6","<strong>Cách mô tả nào về ""cái ly"" nghe tự nhiên hơn?</strong>","sub_sub_noun","cup","cái ly","tall","cao","big","lớn","","","","","","","",""
"28026.40000000014","","html-slider-response","5","371946","0.0-5.0","","0","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","clean","sạch","yellow","màu vàng"
"17204.600000000035","","html-slider-response","6","389156","0.0-6.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_sub_noun","table","cái bàn","beautiful","đẹp","big","lớn","","","","","","","",""
"42349.69999999972","","html-slider-response","7","431512","0.0-7.0","","6","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","ugly","xấu","","nhỏ","","","","","","","",""
"28301.300000000105","","html-slider-response","8","459819","0.0-8.0","","0","<strong>Cách mô tả nào về ""cái ghế"" nghe tự nhiên hơn?</strong>","sub_int_noun","chair","cái ghế","","","","","ugly","xấu","clean","sạch","","","",""
"19627.600000000268","","html-slider-response","9","479452","0.0-9.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_int_noun","sticky rice","xôi","","","","","beautiful","đẹp","yellow","màu vàng","","","",""
"15075.800000000047","","html-slider-response","10","494534","0.0-10.0","","6","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","ugly","xấu","tall","cao","","","","","","","",""
"12337.300000000105","","html-slider-response","11","506877","0.0-11.0","","6","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","red","màu đỏ","plastic","nhựa"
"18298.299999999872","","html-slider-response","12","525181","0.0-12.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","big","lớn","dirty","dơ","","","",""
"14146.300000000396","","html-slider-response","13","539333","0.0-13.0","","6","<strong>Cách mô tả nào về ""cái bàn"" nghe tự nhiên hơn?</strong>","sub_int_noun","table","cái bàn","","","","","big","lớn","wooden","gỗ","","","",""
"13663","","html-slider-response","14","553001","0.0-14.0","","6","<strong>Cách mô tả nào về  ""cái bàn"" nghe tự nhiên hơn?</strong>","int_int_noun","table","cái bàn","","","","","","","","","round","dơ","wooden","gỗ"
"22744.599999999977","","html-slider-response","15","575751","0.0-15.0","","6","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_sub_noun","mango","trái xoài","sweet","ngọt","big","lớn","","","","","","","",""
"12980.300000000163","","html-slider-response","16","588737","0.0-16.0","","6","<strong>Cách mô tả nào về ""cái xe"" nghe tự nhiên hơn?</strong>","sub_int_noun","car","cái xe","","","","","big","lớn","clean","sạch","","","",""
"12496","","html-slider-response","17","601238","0.0-17.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","big","lớn","bitter","đắng","","","","","","","",""
"17175.000000000116","","html-slider-response","18","618417","0.0-18.0","","6","<strong>Cách mô tả nào về  ""trái chuối"" nghe tự nhiên hơn?</strong>","int_int_noun","banana","trái chuối","","","","","","","","","yellow","màu vàng","clean","sạch"
"10243.300000000163","","html-slider-response","19","628665","0.0-19.0","","0","<strong>Cách mô tả nào về ""cục kẹo"" nghe tự nhiên hơn?</strong>","sub_sub_noun","candy","cục kẹo","small","nhỏ","bitter","đắng","","","","","","","",""
"12653.89999999979","","html-slider-response","20","641324","0.0-20.0","","0","<strong>Cách mô tả nào về  ""cái ly"" nghe tự nhiên hơn?</strong>","int_int_noun","cup","cái ly","","","","","","","","","dirty","dơ","yellow","màu vàng"
"14961.29999999993","","html-slider-response","21","656290","0.0-21.0","","0","<strong>Cách mô tả nào về ""xôi"" nghe tự nhiên hơn?</strong>","sub_sub_noun","sticky rice","xôi","","nhỏ","bitter","đắng","","","","","","","",""
"10072.999999999767","","html-slider-response","22","666369","0.0-22.0","","6","<strong>Cách mô tả nào về ""trái chuối"" nghe tự nhiên hơn?</strong>","sub_int_noun","banana","trái chuối","","","","","small","nhỏ","clean","sạch","","","",""
"17342.20000000007","","html-slider-response","23","683717","0.0-23.0","","0","<strong>Cách mô tả nào về  ""cái ghế"" nghe tự nhiên hơn?</strong>","int_int_noun","chair","cái ghế","","","","","","","","","plastic","nhựa","square","hình vuông"
"10829.09999999986","","html-slider-response","24","694551","0.0-24.0","","0","<strong>Cách mô tả nào về ""cái quạt"" nghe tự nhiên hơn?</strong>","sub_sub_noun","fan","cái quạt","tall","cao","ugly","xấu","","","","","","","",""
"30546.50000000035","","html-slider-response","25","725103","0.0-25.0","","6","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","bitter","đắng","clean","sạch","","","",""
"16131.5","","html-slider-response","26","741241","0.0-26.0","","0","<strong>Cách mô tả nào về ""trái ớt"" nghe tự nhiên hơn?</strong>","sub_int_noun","pepper","trái ớt","","","","","ugly","xấu","square","hình vuông","","","",""
"24260.699999999837","","html-slider-response","27","765507","0.0-27.0","","0","<strong>Cách mô tả nào về ""trái xoài"" nghe tự nhiên hơn?</strong>","sub_int_noun","mango","trái xoài","","","","","beautiful","đẹp","square","hình vuông","","","",""
"22525.400000000023","","html-slider-response","28","788038","0.0-28.0","","6","<strong>Cách mô tả nào về  ""trái xoài"" nghe tự nhiên hơn?</strong>","int_int_noun","mango","trái xoài","","","","","","","","","red","màu đỏ","dirty","dơ"
"16899.100000000093","","html-slider-response","29","804942","0.0-29.0","","0","<strong>Cách mô tả nào về  ""cục kẹo"" nghe tự nhiên hơn?</strong>","int_int_noun","candy","cục kẹo","","","","","","","","","square","hình vuông","dirty","dơ"
"21006.599999999744","","html-slider-response","30","825954","0.0-30.0","","0","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","clean","sạch","square","hình vuông"
"8809.29999999993","","html-slider-response","31","834769","0.0-31.0","","6","<strong>Cách mô tả nào về  ""cái xe"" nghe tự nhiên hơn?</strong>","int_int_noun","car","cái xe","","","","","","","","","red","màu đỏ","wooden","gỗ"
